	id	host_id	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	host_response_time	host_identity_verified	host_response_rate	host_is_superhost	nr_of_bathrooms	bedrooms	accommodates	review_scores_rating	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value
9184	25978606	70661803	Cascais	Cascais e Estoril	38.69956	-9.43212	4	49	2	59	1.4	2	67	4	1	1	1.0	0	1.0	1.0	5	4.81	4.85	4.92	4.97	4.66	4.73
9186	25982443	42322320	Cascais	Cascais e Estoril	38.70519	-9.43087	4	37	31	24	0.59	1	153	0	3	0	1.0	0	1.0	1.0	2	4.67	4.88	5.0	4.96	4.71	4.71
9190	25998070	6975132	Lisboa	Ajuda	38.702927	-9.196393	4	59	2	64	1.52	1	306	12	1	1	1.0	1	1.0	1.0	4	4.94	4.88	4.94	4.97	4.75	4.81
9195	26004372	190434919	Cascais	Alcabideche	38.71148	-9.41402	4	101	2	29	0.71	1	160	8	2	1	1.0	1	1.0	2.0	4	4.86	4.97	5.0	5.0	4.55	4.76
9198	26021257	88894967	Cascais	Carcavelos e Parede	38.68171	-9.32684	2	40	3	43	1.1	1	356	9	1	1	1.0	1	1.0	1.0	3	4.91	4.98	4.95	4.98	4.79	4.77
9199	26023919	195584328	Lisboa	Santo Antnio	38.72626	-9.14643	4	118	2	95	2.29	1	307	15	1	1	1.0	0	2.0	2.0	5	4.8	4.69	4.92	4.94	4.81	4.74
9200	26028235	195616739	Lisboa	Estrela	38.70329	-9.16528	2	26	8	76	1.83	8	265	6	1	1	0.92	0	2.5	1.0	2	4.11	4.43	4.59	4.58	4.57	4.28
9201	26033496	71456175	Mafra	Carvoeira	38.93618	-9.41534	4	453	3	11	0.36	1	233	5	1	1	1.0	0	4.5	5.0	10	5.0	4.82	4.91	5.0	4.91	4.91
9202	26033522	24865381	Lisboa	So Vicente	38.72018	-9.12199	4	49	2	52	1.25	5	161	13	1	1	1.0	0	1.0	1.0	3	4.62	4.85	4.94	4.9	4.5	4.62
9204	26035855	85377682	Lisboa	So Vicente	38.71602	-9.13128	2	80	1	12	0.3	8	90	0	1	1	1.0	0	1.0	1.0	2	4.5	4.75	4.75	4.58	4.83	4.25
9205	26036835	5161277	Lisboa	Arroios	38.72722	-9.13189	4	90	3	27	0.64	2	7	7	2	1	1.0	1	1.0	1.0	4	4.85	4.74	4.74	5.0	4.81	4.78
9206	26036969	195677566	Lisboa	Avenidas Novas	38.73889	-9.14984	4	172	30	4	0.1	1	217	0	3	0	1.0	0	2.0	4.0	8	4.75	4.75	4.75	4.75	4.75	4.25
9208	26055016	8361172	Cascais	Cascais e Estoril	38.7071	-9.38594	4	78	2	51	1.22	12	214	7	1	1	1.0	1	2.0	2.0	5	4.63	4.76	4.86	4.88	4.22	4.51
9209	26055184	15826725	Lisboa	Santa Maria Maior	38.71236	-9.12508	4	65	2	69	1.64	19	174	11	1	1	1.0	0	1.0	1.0	4	4.51	4.61	4.83	4.87	4.88	4.55
9210	26055337	170759608	Lisboa	Santa Maria Maior	38.71589	-9.14139	4	85	2	73	1.84	12	75	11	1	1	0.98	0	2.0	2.0	4	4.77	4.84	4.74	4.84	5.0	4.68
